income,fixed_expenses,variable_expenses,total_expenses,savings_goal,lifestyle_score,savings
85563.62,29636.98,29723.49,59360.47,16041.65,7.79,19025.17
34478.91,13179.69,11350.29,24529.97,4153.5,7.49,6540.86
70221.59,24605.76,7981.34,32587.1,12960.56,2.27,18869.94
16008.25,3786.02,7106.11,10892.14,3198.9,8.89,780.9
31795.35,9474.67,4058.28,13532.95,10418.68,2.63,10492.37
69921.53,18667.39,13667.18,32334.57,15589.67,8.18,32076.16
83461.66,19012.44,14988.44,34000.88,28481.23,5.11,50982.27
69284.21,18056.7,8500.41,26557.1,15850.73,3.95,36781.91
62108.79,15285.03,6247.75,21532.78,5519.28,2.42,32632.45
57472.41,17459.69,2873.67,20333.36,9274.51,2.51,22871.52
28036.95,10799.47,9559.59,20359.06,8211.14,6.96,7487.54
47003.89,17563.38,6842.18,24405.56,8597.88,5.95,22306.12
53484.03,9947.07,3530.6,13477.67,4250.4,2.1,32694.99
91428.06,21224.97,9444.45,30669.41,7183.62,2.01,35047.74
73590.46,18420.58,2879.68,21300.26,8954.66,1.65,57207.7
20924.0,4957.67,7104.33,12062.0,4494.56,7.69,5746.76
73102.1,15040.78,30943.16,45983.94,22058.43,7.41,25972.67
55372.94,14629.59,3851.67,18481.26,11538.1,1.53,29554.82
48076.95,16093.84,13803.78,29897.62,13304.69,6.04,20346.92
80291.91,26093.7,7131.79,33225.49,19300.71,1.76,42610.86
90774.99,28397.57,24160.88,52558.45,19154.99,9.13,24457.13
88282.0,23078.59,34639.34,57717.92,9679.13,9.16,13757.01
44019.56,15778.47,11115.86,26894.33,13651.33,7.28,12255.46
57269.69,21145.33,16195.52,37340.84,8051.21,9.34,13402.69
73281.59,20058.88,16836.15,36895.04,9242.4,8.3,36466.96
89388.63,19629.99,32745.43,52375.42,11250.72,8.46,24177.96
53020.64,12992.96,17059.01,30051.97,3917.6,6.13,14917.34
60358.53,13130.9,12348.65,25479.55,11960.12,3.75,28574.4
37341.63,10703.6,3994.68,14698.28,5594.19,2.96,12614.6
35094.83,8435.29,5269.62,13704.91,7347.32,3.94,23077.42
85313.15,24269.76,26828.61,51098.37,15927.12,6.66,18803.88
98906.0,24065.23,12977.42,37042.65,20011.21,2.55,62802.55
63199.75,21889.17,6109.27,27998.44,8831.26,3.33,24986.56
90088.32,18910.75,15053.7,33964.44,26602.54,5.21,46539.93
74040.9,23360.3,9654.04,33014.34,15637.41,3.1,31934.89
48872.01,10925.93,12131.61,23057.54,5505.48,6.3,15379.83
74034.89,15545.01,32958.02,48503.03,23485.43,9.31,16947.63
103450.91,38092.47,31707.78,69800.25,8385.21,7.73,38932.76
64104.35,21976.56,10894.3,32870.86,17552.74,7.0,22241.28
104116.09,22608.45,17133.7,39742.16,26241.89,6.24,41243.73
15000.0,5074.18,4530.43,9604.61,933.46,5.39,4266.32
85547.56,27687.49,6825.04,34512.54,27354.66,2.68,51852.13
67176.18,19893.75,14059.92,33953.66,9490.08,9.05,23610.4
57524.82,16665.76,9036.31,25702.08,15788.96,3.24,20201.84
67294.02,25593.43,5143.03,30736.46,8703.17,1.82,28537.54
15310.78,4204.66,5150.03,9354.7,3396.96,7.75,4151.05
59508.2,16874.49,6261.55,23136.04,20065.0,2.58,28652.55
73927.81,19019.49,18600.21,37619.7,17186.48,4.35,39713.86
101947.35,36248.75,3241.15,39489.9,14228.92,1.25,48791.26
52043.24,19665.88,4738.27,24404.15,9916.91,2.23,22851.51
44787.66,16014.85,4955.71,20970.56,11277.87,2.56,24962.1
52456.07,18715.18,1870.57,20585.75,9488.12,1.49,27644.83
87885.05,35013.45,22128.51,57141.96,28690.42,6.91,15483.14
73218.78,24977.41,32223.08,57200.48,22751.56,8.53,11260.0
51755.99,18653.52,8225.36,26878.88,4833.16,4.36,28073.41
77831.69,31518.63,37694.25,69212.88,21855.84,8.87,7863.77
67426.94,13747.8,8913.73,22661.53,22472.91,2.92,46596.16
89216.12,29415.25,17448.31,46863.55,12941.81,3.93,38304.27
47448.67,16550.03,5836.61,22386.64,5492.22,2.36,17732.11
56808.45,22173.37,17695.87,39869.24,2847.61,6.59,16477.76
55197.3,21040.12,13045.84,34085.96,4693.73,4.78,20040.49
28412.13,10439.56,9121.64,19561.2,9704.56,6.52,8319.52
72403.01,29252.22,23922.4,53174.62,11911.99,7.86,14905.9
71526.38,21719.54,17712.77,39432.31,11686.09,5.91,21548.34
65127.84,13842.93,11768.19,25611.12,8489.99,6.65,31364.12
59135.32,11280.66,29795.59,41076.25,5699.03,9.42,13603.49
29615.73,9555.93,3611.51,13167.44,5961.11,3.69,12464.35
54483.87,16358.12,9912.49,26270.61,14899.88,4.23,19135.49
56432.14,15425.76,12874.7,28300.46,12137.84,7.46,29904.11
44943.07,12657.17,13860.96,26518.13,2929.68,6.5,12753.18
60967.86,23741.63,9808.64,33550.28,17495.04,2.61,33046.31
75101.27,20541.07,17606.77,38147.84,24590.67,4.39,28926.68
112154.65,41825.97,25623.75,67449.72,20267.01,5.21,40848.16
69364.45,26466.34,14151.06,40617.4,10873.32,4.77,23840.31
71438.76,20877.39,7201.34,28078.72,8144.4,2.6,37363.63
63138.85,19455.62,16515.36,35970.98,8913.48,9.32,31011.23
17030.72,5746.52,4296.29,10042.81,4221.53,7.86,4099.55
64337.15,22194.29,12155.43,34349.72,17892.42,5.33,23634.07
66505.76,17347.63,27633.81,44981.44,9804.53,7.12,15282.42
126581.05,26774.41,42181.67,68956.07,19243.48,9.08,41483.75
60190.98,14764.28,5848.21,20612.49,11159.38,2.23,44889.38
72538.68,15684.86,13022.62,28707.48,7537.44,3.25,24667.92
64132.21,17152.59,15753.92,32906.51,21272.52,5.88,21250.92
35783.05,8726.93,8819.08,17546.01,9228.5,8.19,18563.12
93570.57,30391.27,4596.98,34988.25,16836.19,1.33,38729.18
83798.33,32224.53,28983.89,61208.43,7063.62,9.86,23411.18
84775.8,28629.07,20907.61,49536.69,26127.2,5.09,25752.89
42265.31,15927.86,5717.95,21645.81,8299.83,4.23,13526.15
100069.86,36203.75,18350.73,54554.48,29125.43,3.63,38754.87
29953.72,10502.29,4007.27,14509.57,1725.12,2.57,14670.76
79671.43,22246.15,20881.59,43127.74,10728.45,8.12,19306.74
119761.39,32156.96,28978.37,61135.33,28487.84,9.6,57650.47
40236.59,14861.55,8291.63,23153.18,8157.32,4.72,10619.9
50842.56,19385.76,17047.94,36433.7,6774.03,9.57,8242.96
67491.28,18866.57,23434.64,42301.2,7461.89,8.41,21842.15
52413.11,10542.08,12920.66,23462.74,7585.86,5.33,33063.59
26233.41,9565.61,6740.35,16305.97,6966.77,7.07,6729.52
66714.07,17813.22,18688.34,36501.55,7116.84,4.91,33294.7
38442.41,7388.56,8388.63,15777.19,8884.67,6.03,23289.95
76839.81,28878.05,4221.95,33100.0,13748.87,1.52,28655.05
42014.39,13029.08,16977.39,30006.47,11785.04,7.27,7549.93
103748.36,34207.86,4228.77,38436.63,11586.22,1.48,74456.54
45418.67,16969.93,9786.96,26756.9,6037.62,8.35,10626.17
56948.46,18264.0,27502.84,45766.84,9895.8,8.42,4946.7
85337.93,26277.51,7561.6,33839.11,8387.92,3.13,52193.66
34228.39,8844.5,3360.58,12205.09,6515.29,3.91,17164.07
70686.5,18526.88,15990.56,34517.44,12600.84,5.33,24188.65
97678.57,34514.43,13326.35,47840.78,33740.23,6.37,30444.66
24812.92,7851.65,3769.62,11621.27,5523.07,3.59,12795.21
69615.85,15706.09,16720.49,32426.58,5036.36,6.33,30106.16
71497.07,16073.49,11657.94,27731.43,13716.62,3.68,29695.38
84545.57,25581.8,3797.77,29379.56,26482.45,1.5,64998.71
34076.23,10008.11,2300.13,12308.23,10583.77,1.02,19825.2
31988.58,11062.16,2079.02,13141.18,10902.24,1.91,15567.72
78048.54,23886.75,28747.66,52634.41,24743.1,8.13,25284.26
72424.62,16697.14,40651.76,57348.9,7890.51,9.65,12025.7
71262.32,21402.26,13059.41,34461.66,3454.52,4.84,18860.67
73661.21,28057.85,11035.13,39092.99,17319.24,5.61,37336.62
47999.38,10759.0,2959.66,13718.66,12536.26,2.32,20322.97
70806.34,23546.28,24948.59,48494.86,5889.84,5.96,27328.97
72326.81,23276.96,8327.35,31604.3,7067.88,2.3,30578.11
47141.21,16404.12,17453.37,33857.48,15706.8,6.5,11353.9
111644.36,25855.39,50479.24,76334.63,37338.37,9.4,41163.25
76845.82,29095.88,6926.99,36022.87,7122.43,2.76,30524.45
35217.41,11370.94,6133.98,17504.92,4558.95,7.88,13812.38
81413.84,30590.49,5388.94,35979.43,25623.86,1.21,48439.85
40632.96,9571.2,6396.71,15967.91,7526.47,4.38,22662.79
84677.12,29465.96,5837.76,35303.71,24228.11,2.0,37078.26
93964.89,32543.57,16389.6,48933.17,15945.69,4.17,25090.41
44482.94,11779.68,3028.92,14808.6,12238.12,2.56,27190.18
89084.4,25061.56,12216.53,37278.1,15174.14,4.36,45630.53
75319.52,24818.24,16473.46,41291.7,23839.47,4.76,22058.48
85551.5,19619.57,7839.44,27459.01,12859.5,3.71,44306.34
112419.82,39239.93,19948.1,59188.03,23372.8,6.91,36320.01
58865.3,12543.27,21497.07,34040.33,11685.69,9.27,20132.87
46156.6,10452.48,9889.22,20341.7,11314.88,4.61,27231.85
42762.14,14039.92,3335.42,17375.34,6639.39,2.73,17574.93
44604.74,9431.77,3509.82,12941.59,11053.25,3.44,22890.18
63072.46,24341.06,32507.49,56848.55,5722.46,8.69,4232.43
73528.8,27808.13,9771.5,37579.63,23497.15,6.14,38119.44
71917.27,23824.1,7003.79,30827.9,6627.86,5.1,42035.32
85679.58,31370.68,6817.85,38188.53,26085.73,2.35,48706.04
65325.05,24247.22,9077.53,33324.75,16687.39,5.05,36455.68
101338.35,25692.0,15240.45,40932.45,15677.58,3.51,60997.89
58383.58,20638.71,30743.07,51381.78,8838.28,9.49,3599.87
133004.23,32444.03,46753.6,79197.63,45325.16,8.96,28161.42
80641.68,22145.78,6755.86,28901.64,9163.4,1.76,33105.72
43571.06,13018.78,13458.14,26476.91,11829.75,5.65,12607.24
38227.69,13161.26,3054.6,16215.86,4222.23,3.03,12444.71
77061.81,15978.99,14242.36,30221.35,25009.84,4.7,47772.33
59413.43,15298.34,24005.68,39304.02,16337.76,8.89,18994.09
82850.01,26098.1,16280.56,42378.66,27417.72,5.75,40483.51
76830.94,21424.26,15397.55,36821.8,23968.9,4.01,23458.31
63179.28,21585.99,8864.02,30450.0,13441.34,2.87,24180.87
43830.16,13736.8,13131.95,26868.75,4279.59,8.2,13693.88
27128.82,6644.08,3806.56,10450.64,3280.66,6.62,15582.1
53837.13,11706.59,5741.24,17447.83,5955.01,5.21,36985.19
86409.97,28764.49,9428.51,38193.0,9943.82,2.96,56321.6
70352.34,19819.65,6632.76,26452.41,13545.45,4.01,24227.81
33856.53,8693.88,17063.22,25757.1,10496.4,9.64,6654.92
69329.52,18908.94,13515.71,32424.65,4002.25,5.68,22820.33
74632.93,20067.57,16203.17,36270.74,9026.76,4.61,27675.57
42903.56,10452.12,8334.91,18787.03,10059.81,5.69,25371.73
68843.13,21339.42,28291.83,49631.26,21291.49,8.01,23606.08
66455.22,22934.24,14925.29,37859.53,9124.83,4.06,26125.05
36425.74,11426.01,4974.89,16400.89,5985.28,2.61,14633.74
73944.68,26725.57,18340.15,45065.72,11760.8,6.26,19500.99
79019.61,17465.41,12471.7,29937.11,11315.91,6.99,51113.82
92076.28,26512.59,23643.36,50155.95,24036.76,7.41,46584.02
91345.05,29246.57,30311.42,59557.99,22536.36,8.94,33752.86
30558.27,9867.04,7536.9,17403.94,9541.91,4.34,10901.91
41554.37,13970.77,2697.47,16668.24,13475.52,1.68,23483.77
77875.88,27203.43,33968.16,61171.59,24924.71,9.63,17143.36
77844.65,26189.2,19538.82,45728.02,16365.99,4.92,37946.25
77876.19,16241.4,21278.31,37519.71,8044.12,6.61,47929.34
161318.29,54545.16,49370.68,103915.85,18859.72,7.0,55694.21
79272.26,27274.81,14273.62,41548.43,18213.64,5.92,22703.26
93389.14,36642.62,6041.46,42684.08,30224.33,2.85,37426.38
88850.04,30031.21,33968.2,63999.41,18533.3,7.8,17250.57
81284.78,27496.73,35557.6,63054.33,26841.67,8.23,10986.64
57118.27,17564.12,12329.41,29893.53,7504.0,5.98,16964.84
83974.23,31410.06,18980.51,50390.57,6287.7,5.4,36528.06
45679.37,17802.36,3126.94,20929.3,13346.81,2.03,26433.84
59079.53,22027.04,4275.45,26302.5,18683.13,1.76,17548.07
52865.91,17463.82,6366.67,23830.49,9617.37,4.06,16910.39
67046.85,14744.47,12655.99,27400.46,5354.3,3.8,49110.59
122866.46,42934.08,46547.05,89481.13,7719.6,9.58,20257.21
18318.37,6381.92,6602.27,12984.19,1172.31,8.05,5390.58
82156.5,29818.05,12139.95,41958.0,14751.69,6.94,25825.84
24682.1,5579.71,5945.92,11525.64,3269.31,5.66,9085.09
53201.7,17597.15,3685.54,21282.69,9676.09,2.51,28507.14
92223.76,24216.92,32360.95,56577.87,18172.85,9.81,28478.85
66607.0,24237.46,10368.25,34605.71,12756.91,4.38,30360.61
38056.38,10196.85,2705.36,12902.21,8819.28,1.96,16524.41
47117.41,16165.37,7204.91,23370.28,11964.66,5.44,14672.42
81989.94,21493.59,39543.88,61037.46,14019.12,8.87,20176.96
46740.83,9780.27,15674.07,25454.33,6454.49,8.99,11390.28
70411.46,23494.24,3719.18,27213.41,11292.4,1.1,49122.48
66139.3,15375.53,26923.74,42299.28,4385.03,8.98,14983.54
48709.99,16046.52,6973.17,23019.69,7328.16,3.44,21113.52
118598.6,46333.95,6560.25,52894.19,12884.25,1.35,38002.06
80847.98,32013.41,36783.22,68796.62,11453.44,8.63,11833.55
15000.0,4033.24,6931.43,10964.66,3773.8,8.77,325.77
69661.36,25897.98,16420.8,42318.79,24231.88,6.37,15143.16
48455.34,13490.91,13435.68,26926.59,15672.81,6.17,20509.69
86310.83,33264.0,17104.24,50368.25,25542.63,8.32,41314.74
45186.98,15959.54,8911.47,24871.01,12252.01,8.08,20902.24
62131.59,14094.05,22108.65,36202.7,20724.88,9.01,25258.49
77624.68,22193.56,26070.58,48264.14,21725.31,5.97,14203.89
86643.88,23237.11,38051.93,61289.04,16859.26,9.71,28795.33
34992.59,13044.16,16670.81,29714.97,7912.72,9.97,4534.5
56637.47,17268.92,3107.97,20376.89,8036.11,2.05,19529.46
53126.37,17314.75,17466.47,34781.22,2476.3,8.65,10432.18
48666.77,15195.2,9395.88,24591.09,7317.83,5.5,18091.99
109136.36,44465.45,24946.98,69412.44,18577.93,4.49,31192.22
75124.54,29328.39,12224.78,41553.17,20614.86,6.52,24296.61
33477.9,9654.71,1493.26,11147.97,9965.85,1.5,14892.99
87946.55,30258.86,27350.62,57609.48,29911.24,5.56,25799.41
118053.9,43799.2,57633.89,101433.09,18453.88,8.84,16169.46
90811.63,35793.81,14331.49,50125.3,30474.77,2.92,45914.36
27015.75,5438.7,4228.81,9667.5,7958.59,4.84,12130.41
52894.15,13726.03,29048.58,42774.61,3262.24,9.46,10038.26
96672.78,25350.7,24016.7,49367.39,22089.8,4.86,49281.75
47308.26,13938.66,11161.72,25100.38,7524.7,4.23,19248.35
76095.49,18406.35,21896.78,40303.13,4532.1,4.96,39795.07
84365.85,26056.2,27200.57,53256.78,17501.72,5.68,17423.44
41826.74,14296.73,8252.57,22549.3,9462.71,6.69,22357.46
63511.87,20279.74,12829.55,33109.29,7880.46,8.21,33160.35
15000.0,4710.0,3795.45,8505.45,5011.76,5.07,2797.87
39390.31,7984.22,14540.26,22524.49,9061.3,8.36,12542.8
58685.8,22753.43,11626.59,34380.02,5900.8,5.8,20994.65
33805.42,13171.63,6274.41,19446.03,8896.04,4.05,12279.71
105810.28,33550.28,16498.02,50048.3,21388.55,6.92,60765.09
29246.47,10846.78,5231.93,16078.7,5338.97,7.46,13628.27
53998.89,12347.19,11270.33,23617.52,16573.62,6.02,17818.16
68268.51,24218.71,3163.17,27381.88,6397.04,1.51,46727.94
101031.83,22106.59,12649.21,34755.8,19620.57,2.53,33735.02
29103.45,8091.78,6036.9,14128.68,8156.38,3.57,14127.81
94079.09,24376.46,15469.77,39846.23,23018.06,3.54,47426.42
65255.83,21011.39,20919.75,41931.14,3498.14,7.06,11939.33
40462.28,9560.55,725.58,10286.12,11837.06,1.17,31283.2
76552.59,25113.33,23910.62,49023.95,25568.59,7.8,33379.9
69976.49,19396.75,12385.25,31782.0,18535.71,3.39,31357.11
49994.58,18560.62,8777.6,27338.22,15673.55,3.79,19123.0
66745.05,22357.34,11142.38,33499.72,10756.17,5.75,26779.48
55367.16,12772.24,8854.87,21627.11,8650.32,2.94,37775.63
67837.93,17777.51,35803.79,53581.3,9924.74,8.96,16122.79
81553.27,29967.62,4368.93,34336.56,22214.14,1.77,36893.28
104650.42,29375.5,15019.29,44394.79,34777.54,5.0,68616.34
34054.61,10569.46,10215.79,20785.25,11039.71,8.64,6808.44
118325.83,40094.17,17563.48,57657.65,11185.46,6.54,49586.66
16197.81,3963.42,3067.71,7031.13,3965.79,3.63,6710.39
61205.37,15142.19,17034.28,32176.47,21206.33,4.79,18960.78
79707.93,24412.45,26739.8,51152.25,10733.72,7.36,30427.26
72024.8,16784.88,35734.44,52519.32,17388.9,9.76,19987.2
49432.51,13037.88,21345.9,34383.78,15555.84,9.04,8068.65
59796.94,12212.47,8778.79,20991.26,19556.75,4.08,39468.7
52674.98,12702.66,24285.72,36988.38,7643.03,9.98,11630.56
50265.88,13089.88,2727.05,15816.93,3914.11,1.03,38178.22
86240.05,34287.47,5512.88,39800.34,20963.55,1.25,42517.18
73925.39,22893.38,14802.55,37695.93,24725.91,8.41,27052.42
47677.26,17331.55,4835.55,22167.09,9717.68,2.8,22108.44
87490.0,18673.44,5424.27,24097.72,16219.97,1.55,38900.0
72682.49,15449.32,11799.43,27248.75,21961.48,3.13,31617.78
85321.55,30849.94,16549.84,47399.78,14914.1,4.83,19307.39
80740.72,27005.85,21148.11,48153.96,20433.59,7.58,25032.14
44275.12,10871.47,14339.91,25211.39,7431.96,6.62,10381.2
50995.47,14196.9,5845.99,20042.89,8356.18,3.14,30733.93
83682.34,25959.59,13759.19,39718.78,9049.62,5.53,50090.91
80259.26,29250.72,41759.0,71009.72,5814.1,9.34,8909.41
64477.46,14231.38,13226.53,27457.91,20167.2,8.34,22739.15
67933.18,22250.72,5895.17,28145.89,7001.72,3.91,35600.36
96941.62,33350.9,24660.78,58011.68,6961.37,9.84,37667.27
50210.72,19977.63,9452.82,29430.45,11826.07,7.38,21897.87
78677.43,27937.15,4939.32,32876.46,16551.47,1.56,32753.01
59945.18,14624.72,3773.65,18398.37,13425.87,1.32,35745.72
59557.97,20175.51,5138.37,25313.88,11359.09,2.52,21080.4
92469.42,32566.16,19242.94,51809.1,8672.14,7.55,39821.14
85635.41,30156.64,5634.73,35791.36,4554.21,2.65,41220.2
85337.74,31526.61,19255.1,50781.71,5726.16,5.6,18755.59
97636.97,37267.3,7588.88,44856.18,32063.44,1.84,46721.49
65525.1,14990.21,19709.77,34699.98,13468.25,9.29,31812.65
82048.82,17657.17,9685.39,27342.57,13887.47,4.1,28311.16
57243.33,21105.05,12152.6,33257.66,9798.73,9.17,17658.31
73104.16,17915.51,14428.69,32344.2,17963.83,9.5,31702.02
61746.42,13692.08,1830.55,15522.63,9927.65,1.06,55998.05
67424.9,18888.87,16966.79,35855.66,19410.27,5.18,20531.78
79878.93,28074.82,3225.1,31299.92,10186.25,1.22,51781.72
44544.48,10401.53,8969.03,19370.56,7090.37,9.18,14562.01
117309.68,39629.42,26573.31,66202.73,38800.45,5.67,60873.13
39849.57,7770.44,2298.48,10068.93,5283.35,1.67,22121.45
34645.28,7503.8,1929.26,9433.07,8457.8,1.99,15772.22
93952.77,25303.45,10416.32,35719.78,15242.81,4.45,44367.36
84791.57,17413.49,40494.85,57908.34,16235.48,9.46,13132.78
80603.0,28574.68,27638.38,56213.06,5375.05,7.24,12793.46
80708.64,30740.13,25062.2,55802.33,8016.1,8.81,18412.1
64693.83,22302.88,9752.99,32055.88,5039.38,4.3,39213.08
42568.64,11505.77,1904.7,13410.47,12931.99,1.39,25151.12
66895.11,21064.76,32386.44,53451.19,23157.27,9.77,11102.03
48070.96,12168.61,2758.54,14927.15,3110.8,1.15,32588.75
89377.99,22578.47,19447.56,42026.03,6664.86,9.53,24067.15
61323.57,17789.17,8959.39,26748.56,13259.96,4.32,25270.61
44362.57,14850.49,2749.59,17600.08,9007.01,1.09,33494.43
56965.35,12248.25,15914.22,28162.46,13725.14,7.2,13834.24
75323.29,18347.68,24860.7,43208.37,20507.18,9.82,26586.14
50906.89,19377.95,22867.58,42245.53,14779.62,9.69,8296.63
44444.49,12602.49,3525.56,16128.05,3913.29,2.45,21355.67
71092.18,26920.48,7715.12,34635.6,4387.81,2.63,43990.46
71124.16,27807.1,20076.0,47883.09,22479.82,6.09,18619.56
52326.42,15866.63,19456.7,35323.33,9916.37,6.74,18733.4
53224.04,13889.13,19842.93,33732.05,18160.14,7.65,16947.17
70801.25,24912.44,6865.22,31777.65,15073.82,2.63,31131.19
28797.89,6823.27,14248.96,21072.23,5937.84,9.63,6818.83
29813.41,7533.98,11671.93,19205.91,6853.93,6.75,11234.38
47038.89,16815.2,15967.25,32782.44,4852.38,8.62,10108.77
59663.82,16781.35,7050.1,23831.45,7521.44,5.86,38916.8
72772.69,16821.14,19224.89,36046.03,23290.78,4.73,34832.28
101883.91,34492.85,26705.5,61198.36,11336.09,9.79,30962.69
86441.49,30271.66,13777.09,44048.75,10524.98,6.24,21982.0
61001.54,14229.08,17307.0,31536.08,12268.92,8.8,19736.78
64524.59,16437.51,22030.26,38467.77,15818.85,9.58,27526.24
39936.77,9672.76,14949.6,24622.36,1792.36,7.08,7528.63
64537.17,18055.71,13699.8,31755.51,12469.62,5.94,28889.2
57783.53,19462.27,1083.5,20545.78,10332.84,1.03,34294.84
73067.96,24486.11,4888.11,29374.22,22736.57,1.36,42677.76
44319.23,14337.47,5466.66,19804.13,13639.67,2.81,29350.5
77983.66,15467.48,10675.09,26142.57,25002.67,2.67,55678.45
103318.47,23161.05,12282.54,35443.59,31155.28,3.29,58699.3
62281.0,15404.04,4714.63,20118.68,18052.01,3.74,46258.87
75042.79,19130.95,13867.35,32998.29,23121.06,4.24,42075.11
82253.6,19555.97,9780.65,29336.63,8151.81,4.78,59414.02
54969.49,16741.74,2610.42,19352.17,8384.82,1.89,36590.96
70602.31,14550.62,5528.71,20079.33,17765.25,1.38,52473.6
65314.81,22934.13,16629.85,39563.98,21316.95,7.07,13247.74
67441.9,24186.22,16541.97,40728.19,17075.14,5.84,13927.58
45674.76,14373.75,10298.8,24672.55,5425.03,5.0,23103.19
65612.75,13757.3,15997.41,29754.7,21930.52,6.71,23919.23
77449.96,28818.77,14284.04,43102.81,21806.64,8.45,20229.8
101278.59,39935.57,14996.56,54932.13,26743.1,4.85,27523.66
88981.77,20925.01,16995.99,37921.0,25143.98,6.77,52048.74
118829.56,40591.96,67240.98,107832.94,29294.65,9.58,4121.65
45816.31,16755.19,19600.52,36355.71,2432.91,8.56,8070.29
86808.02,26804.98,16255.39,43060.37,10853.05,4.83,39989.22
69583.55,17939.65,10722.89,28662.54,23298.19,6.8,22779.2
119745.07,35488.76,8412.43,43901.19,16458.42,2.59,46456.21
44792.54,13107.2,14177.95,27285.15,12859.01,6.04,10141.4
44006.95,12407.9,25513.11,37921.01,7807.52,9.83,2934.89
50015.18,19973.98,6365.47,26339.45,16180.07,5.66,21237.79
15000.0,5362.14,7353.3,12715.44,2983.02,9.35,675.73
51856.12,13034.75,8970.39,22005.14,12442.21,4.67,28804.87
46021.68,15002.61,13445.56,28448.16,5963.62,9.99,20179.44
68759.84,22521.02,10325.28,32846.3,4907.12,6.21,39011.2
73543.9,17629.77,5275.06,22904.83,20150.27,1.38,53552.93
111904.27,29874.93,27387.69,57262.63,7778.46,6.28,63619.29
88760.6,34267.35,16833.47,51100.83,24339.51,3.47,34819.46
50577.41,16226.17,1774.62,18000.79,11041.11,1.29,34966.32
42539.63,9903.04,17296.74,27199.78,12895.1,8.39,14477.82
77297.98,17862.24,6328.69,24190.93,8955.41,3.48,63720.89
31994.17,9963.79,5637.41,15601.2,6574.3,8.17,16181.12
110786.47,35237.52,10265.87,45503.39,26096.66,3.59,45267.69
94486.0,25313.39,13976.46,39289.85,6867.79,2.75,36687.64
53270.61,17316.38,23992.72,41309.1,14821.01,9.77,8198.43
22171.64,4481.52,1833.71,6315.23,4088.64,4.25,16801.52
98846.81,21767.0,21985.02,43752.02,8598.81,6.41,52575.03
62136.5,19056.9,20514.42,39571.32,11010.39,6.49,14012.47
95945.41,20237.32,18222.09,38459.41,7660.55,6.04,64092.16
25139.31,9587.98,13579.88,23167.86,8080.51,9.23,2290.25
50015.62,10713.48,20030.53,30744.01,8823.87,7.07,18600.41
65131.09,21685.34,12488.07,34173.41,6155.19,4.63,16990.0
66174.51,18700.57,26344.7,45045.27,7882.59,8.76,18442.88
53748.36,15385.01,6824.28,22209.3,14343.24,2.63,37325.43
80571.25,27509.96,14822.94,42332.9,22918.82,5.9,27915.87
38309.49,11841.93,12636.57,24478.5,2483.54,9.55,10421.68
61440.51,21081.74,10380.05,31461.79,4211.61,6.63,19360.14
68007.39,20380.32,32609.5,52989.82,22230.37,8.35,16435.83
